num,tier,zone,city,company,address,industry
2715,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Cambridge,SHP Manufacturing,"652 Bishop St N, Cambridge, ON N3H 4V6, Canada",OEM manufacturer
2716,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Cambridge,Shear Metal Products,"95 Heroux Devtek Dr, Cambridge, ON N3E 0A7, Canada",metal fabrication
2717,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Cambridge,Sustainable Creamery,"25 Goddard Cres, Cambridge, ON N3E 0B1, Canada",food manufacturer
2718,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Cambridge,TMMC General Stores,"105 Boxwood Dr, Cambridge, ON N3W 0A7, Canada",automotive parts manufacturer
2719,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Cambridge,TMMC Plastics Department,"Cambridge, ON N3E 0A7, Canada",plastics manufacturer
2720,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Cambridge,TRITED INNOVATION INC,"120 Shearson Crescent, Cambridge, ON N1T 1J4, Canada",manufacturer
2721,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Cambridge,TTCI,"1250 Franklin Blvd, Cambridge, ON N1R 8B7, Canada",OEM manufacturer
2722,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Cambridge,Tenneco Automotive,"500 Conestoga Blvd, Cambridge, ON N1R 7P6, Canada",manufacturer
2723,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Centre Wellington,1847 Stone Milling,"8052 Side Rd 20, Fergus, ON N0G 1A0, Canada",food manufacturer
2724,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Centre Wellington,Centre Wellington Chamber Of Commerce,"400 Tower St S, Fergus, ON N1M 1X3, Canada",manufacturer
2725,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Centre Wellington,Centre Wellington Infrastructure Office,"7444 Wellington County Rd 21, Elora, ON N0B 1S0, Canada",manufacturer
