num,tier,zone,city,company,address,industry
337,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Corunna,Rustic Scoops Ice Cream Bar Inc.,"440 Lyndoch St, Corunna, ON N0N 1G0, Canada",food manufacturer
338,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Dawn-Euphemia,621 Technologies Inc,"335 Tank St, Petrolia, ON N0N 1R0, Canada",manufacturing company
339,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Dawn-Euphemia,Absolute Wholesale Div. of AGC Canada,"5272 Aberfeldy Line, Oil Springs, ON N0N 1P0, Canada",manufacturer
340,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Dawn-Euphemia,Henry Company Canada,"380 Tank St, Petrolia, ON N0N 1R0, Canada",manufacturing company
341,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Dawn-Euphemia,Phair Systems Ltd.,"3532 Lambton Line, Dresden, ON N0P 1M0, Canada",manufacturer
342,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Dawn-Euphemia,Realize Manufacturing Inc.,"335 Tank St, Petrolia, ON N0N 1R0, Canada",manufacturing company
343,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Forest,Armtec Inc.,"5996 Townsend Line, Forest, ON N0N 1J0, Canada",manufacturer
344,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Forest,"DYNA-MIG, A Division of F&P Mfg., Inc.","275 Wright Blvd, Stratford, ON N5A 7Y1, Canada",automotive parts manufacturer
345,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Forest,Forest Auto Wreckers Ltd.,"8153 Rawlings Rd, Lambton Shores, ON N0N 1J2, Canada",automotive parts manufacturer
346,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Forest,Tree of Life Canada,"6185 McLaughlin Rd, Mississauga, ON L5R 3W7, Canada",food manufacturer
347,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Forest,West Coast Wild Foods Ltd.,"8835 Northbrook Ct, Burnaby, BC V5J 5J1, Canada",food manufacturer
348,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Grand Bend,Best Cooling Systems,"345 Ontario St S, Grand Bend, ON N0M 1T0, Canada",manufacturer
349,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Grand Bend,Casual Industries Inc.,"36525 Dashwood Rd, Grand Bend, ON N0M 1T0, Canada",OEM manufacturer
350,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Grand Bend,Coastline Business Solutions,"18 81 Crescent St, Grand Bend, ON N0M 0B7, Canada",manufacturing company
351,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Grand Bend,EFS-plastics Inc.,"5788 Line 84, Listowel, ON N4W 3G9, Canada",plastics manufacturer
352,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Grand Bend,ELS and Company Inc.,"25 Ontario St S 2nd floor, Grand Bend, ON N0M 1T0, Canada",manufacturer
353,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Grand Bend,Eastbend Industries Inc,"4550 Ament Line, Wallenstein, ON N0B 2S0, Canada",manufacturing company
354,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Grand Bend,Sphere Manufacturing Group (RJB Machining Ltd),"668 Colby Dr, Waterloo, ON N2V 1A2, Canada",manufacturing company
355,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Ipperwash,United Plastic Components Inc.,"143 Thames Rd E, Exeter, ON N0M 1S3, Canada",plastics manufacturer
356,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Lambton Shores,Bendtech Inc.,"70266 Grand Bend Line, Grand Bend, ON N0M 1T0, Canada",manufacturing company
357,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Lambton Shores,Mellin's Firewood Ltd.,"9848 Lakeshore Rd, Grand Bend, ON N0M 1T0, Canada",manufacturer
358,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Lambton Shores,Stingray Biogenetics Canada,"7705 Clayton St, Port Franks, ON N0M 2L0, Canada",food manufacturer
359,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Lambton Shores,Total Moving Inc.,"9642 Dalton St, Grand Bend, ON N0M 1T0, Canada",packaging manufacturer
360,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Mooretown,Huron Water Supply Inc.,"1041 St Clair Pkwy, Mooretown, ON N0N 1M0, Canada",manufacturer
361,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Oil Springs,Comoldco Corporation,"137 Arrow Rd, Guelph, ON N1K 1S8, Canada",injection molding company
362,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Oil Springs,SciMould Inc.,"200 Brock St #2, Barrie, ON L4N 2M4, Canada",injection molding company
363,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Petrolia,4 Every Occasion Inc.,"4159 Petrolia Line Unit B, Petrolia, ON N0N 1R0, Canada",food manufacturer
364,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Petrolia,621 Technologies Inc,"410 Albany St, Petrolia, ON N0N 1R0, Canada",manufacturing company
365,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Petrolia,Kinell Canada,"260 Centre St, Petrolia, ON N0N 1R0, Canada",manufacturer
366,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Petrolia,Lambton Area Industries Ltd,"4651 Petrolia Line, Petrolia, ON N0N 1R0, Canada",manufacturer
367,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Petrolia,VanderWal Homes & Commercial Group Inc.,"4427 Vanderwal Dr, Petrolia, ON N0N 1R0, Canada",manufacturer
368,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Point Edward,ASI Group Ltd,"120 Seaway Rd, Sarnia, ON N7T 8A5, Canada",manufacturing company
369,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Point Edward,Creative Education Of Canada Inc - Home of Great Pretenders,"704 Mara St, Point Edward, ON N7V 1X4, Canada",manufacturer
370,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Point Edward,Edwards Door Systems,"124 Kendall St, Point Edward, ON N7V 4G5, Canada",manufacturer
371,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Port Franks,Formex Metal Industries Inc,"221 Riverbend Dr, Kitchener, ON N2B 2E8, Canada",automotive parts manufacturer
372,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Port Franks,Jessco Metal Works Inc.,"175 Shaw St, Hamilton, ON L8L 0A7, Canada",metal fabrication
373,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Port Franks,Lawson Metals Inc.,"4145 Lawson Line, Wallenstein, ON N0B 2S0, Canada",metal fabrication
374,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Port Franks,WATERKRAFTS Marine Services Ltd.,"10009 Superior St, Port Franks, ON N0M 2L0, Canada",manufacturer
375,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Port Lambton,Accord Plastics Corp,"56 Edilcan Dr, Concord, ON L4K 3S6, Canada",plastics manufacturer
376,Tier 1B — Mid-Large Industrial,Zone 3 — Sarnia / Lambton County,Port Lambton,EcoPlas Industrial Inc.,"2365 Energy Dr. Unit 10, Bowmanville, ON L1C 6Z9, Canada",plastics manufacturer
