num,tier,zone,city,company,address,industry
2941,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Horst Welding - Plant 1,"8082 Road 129, Listowel, ON N4W 3G8, Canada",manufacturing company
2942,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Horst Welding Plant 2,"5716 Line 84, Listowel, ON N4W 0B2, Canada",manufacturing company
2943,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Hutchison's Welding,"8360 Fairlane Rd, Listowel, ON N4W 3G6, Canada",metal fabrication
2944,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Listowel Automotive Specialized Services - Jed,"885 Main St W, Listowel, ON N4W 3L2, Canada",automotive parts manufacturer
2945,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Listowel Banner,"185 Wallace Ave N, Listowel, ON N4W 1K8, Canada",OEM manufacturer
2946,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Meulensteen Tire & Auto,"220 Mitchell Rd S, Listowel, ON N4W 2B4, Canada",automotive parts manufacturer
2947,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Motion Auto Parts,"8382 Fairlane Rd, Listowel, ON N4W 3G6, Canada",automotive parts manufacturer
2948,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Spinrite Distribution Centre,"1700 Bassett Ave, Listowel, ON N4W 0B1, Canada",manufacturer
2949,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Stop 23 Auto Sales Ltd,"910 Wallace Ave N, Listowel, ON N4W 1M5, Canada",automotive parts manufacturer
2950,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Weberlane Head Office,"1150 Wallace Ave N, Listowel, ON N4W 1M6, Canada",manufacturing company
2951,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Weberlane Manufacturing Plant #2,"795 Rocher Rd, Listowel, ON N4W 0E4, Canada",manufacturer
2952,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Weberlane Manufacturing Plant #4,"720 Rocher Rd E, Listowel, ON N4W 0B2, Canada",manufacturing company
2953,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,West End Mfg #1,"8448 Road 152, Listowel, ON N4W 3G8, Canada",manufacturer
2954,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Listowel,Windy Pine Bulkfoods,"7837 Perth Rd 131, Listowel, ON N4W 3G9, Canada",food manufacturer
2955,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Arjune Engineering & Manufacturing Inc,"41 Drayton Industrial Dr, Drayton, ON N0G 1P0, Canada",manufacturer
2956,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Coonridge plastics,"8649 Concession Rd 3, Moorefield, ON N0G 2K0, Canada",plastics manufacturer
2957,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Country Poultry Processing INC,"7707 4 Line, Wallenstein, ON N0B 2S0, Canada",food manufacturer
2958,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Echo Valley Ranch,"7074 Side Rd 15, Moorefield, ON N0G 2K0, Canada",food manufacturer
2959,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Erie Meat Products LTD,"1400, Mitchell Rd S, Listowel, ON N4W 0L3, Canada",food manufacturer
2960,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,J & J Millwrighting Inc,"8546 Concession Rd 3, Listowel, ON N4W 3G8, Canada",metal fabrication
2961,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Kruger Packaging L.P.,"10 Pedigree Ct, Brampton, ON L6T 5T8, Canada",packaging manufacturer
2962,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Listowel Technology Inc,"1700 Mitchell Rd S, Listowel, ON N4W 3H4, Canada",automotive parts manufacturer
2963,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Mapleton Acres,"7352 16 Line, Arthur, ON N0G 1A0, Canada",manufacturer
2964,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Mapleton Haulage,"54 Dales Dr, Drayton, ON N0G 1P0, Canada",manufacturer
2965,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Mapleton Holdings Inc,"Elora, ON N0B 1S0, Canada",packaging manufacturer
2966,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Mapleton Maple Syrup,"8190 Concession Rd 12, Moorefield, ON N0G 2K0, Canada",manufacturer
2967,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Martin's Metal Shop Inc,"7182 Line 86, Wallenstein, ON N0B 2S0, Canada",metal fabrication
2968,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Nb Tech Inc,"7669 Line 86, Wallenstein, ON N0B 2S0, Canada",metal fabrication
2969,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Pit King Ltd,"7481 Side Rd 17, Alma, ON N0B 1A0, Canada",manufacturer
2970,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Revolution Wool Company,"7489 4 Line, Wallenstein, ON N0B 2S0, Canada",manufacturer
2971,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Rocky Hill Poultry,"Q73C+6F, Mapleton, ON N0G 2K0, Canada",manufacturer
2972,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,Mapleton,Ross Enterprises,"7672 Side Rd 12, Moorefield, ON N0G 2K0, Canada",food manufacturer
2973,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,New Hamburg,/// CSN E&L New Hamburg,"374 Hamilton Rd, New Hamburg, ON N3A 2K2, Canada",automotive parts manufacturer
2974,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,New Hamburg,Argo,"220 Bergey Ct, New Hamburg, ON N3A 2J5, Canada",manufacturer
2975,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,New Hamburg,Bumper to Bumper - Auto Parts,"100 Bergey Ct, New Hamburg, ON N3A 2J5, Canada",automotive parts manufacturer
2976,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,New Hamburg,Canadian Metal Roof Manufacturing Ltd,"367 Victoria St, New Hamburg, ON N3A 2K5, Canada",manufacturing company
2977,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,New Hamburg,Cerwood & Family Ltd,"145 Arnold St, New Hamburg, ON N3A 2C6, Canada",OEM manufacturer
2978,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,New Hamburg,Cressman Meat Limited,"562 Huron St, New Hamburg, ON N3A 1J9, Canada",food manufacturer
2979,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,New Hamburg,Garlic King Garlic Spread,"179 Union St, New Hamburg, ON N3A 1R4, Canada",food manufacturer
2980,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,New Hamburg,Lakehead Manufacturing Inc,"New Hamburg, ON N3A 3Y3, Canada",manufacturing company
2981,Tier 2 — Regional Manufacturer,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,New Hamburg,Maple Leaf Foods New Hamburg,"70 Heritage Dr, New Hamburg, ON N3A 2J4, Canada",manufacturer
