num,tier,zone,city,company,address,industry
907,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,2-Way Automotive and industrial supply,"15 Renaud St #106, Amherstburg, ON N9V 2Z9, Canada",automotive parts manufacturer
908,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,APC Auto Parts Centres,"251 Simcoe St #100, Amherstburg, ON N9V 1M8, Canada",automotive parts manufacturer
909,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Acme Truck-Trailer Parts & Heavy Equipment Repair Shop,"5565 Maplewood Dr, Windsor, ON N9C 0B8, Canada",automotive parts manufacturer
910,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Amherst Supply,"1500 Alma St, Amherstburg, ON N9V 2Y9, Canada",manufacturer
911,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Amherstburg Ferry Company,"1X3,, 340 Dalhousie St, Amherstburg, ON N9V 1X3, Canada",manufacturer
912,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Andy Truck Stuff,"6011 County Rd 18, Amherstburg, ON N9V 0C8, Canada",automotive parts manufacturer
913,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Belwood Poultry Ltd,"4272 4th Conc N, Amherstburg, ON N9V 2Y9, Canada",food manufacturer
914,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Caffeine & Co.,"238 Dalhousie St, Amherstburg, ON N9V 1W4, Canada",manufacturer
915,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Carlesimo Steel Limited / Rose City Steel Limited,"1840 Blackacre Dr, Oldcastle, ON N0R 1L0, Canada",metal fabrication
916,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Carquest Auto Parts - MALDEN AUTOMOTIVE LTD,"256 Bathurst St, Amherstburg, ON N9V 1Y9, Canada",automotive parts manufacturer
917,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,DC Autocare Mobility Ltd,"151 Gore St, Amherstburg, ON N9V 1K9, Canada",automotive parts manufacturer
918,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Evelyn's Candy House,"63 Richmond St, Amherstburg, ON N9V 1G1, Canada",food manufacturer
919,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,FIELDCRAFT ENGINEERING LIMITED,"6041 Concession 6 North, Amherstburg, ON N9V 0C8, Canada",metal fabrication
920,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Frate Food,"8728 Howard Ave, Amherstburg, ON N8V 0C8, Canada",food manufacturer
921,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,George's Produce and Flowers,"2065 Front Rd N, Amherstburg, ON N9J 2X2, Canada",food manufacturer
922,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Goggin Mold,"448 Alma St, Amherstburg, ON N9V 3R4, Canada",manufacturer
923,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Indian Staples,"200 St Arnaud St Unit - 5B, Amherstburg, ON N9V 2P3, Canada",food manufacturer
924,Tier 2 — Regional Manufacturer,Zone 1 — Windsor / Essex County,Amherstburg,Industrial Woodfab & Packaging Co.,"18620 Fort St, Riverview, MI 48193, USA",packaging manufacturer
