num,tier,zone,city,company,address,industry
104,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Amherstburg,CraftMach Engineered Solutions Inc.,"200 St Arnaud St Unit 1, Amherstburg, ON N9V 2P3, Canada",manufacturer
105,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Amherstburg,Northern Packaging MI Corporate Office,"27665 Elba Island Dr, Grosse Ile Township, MI 48138, USA",packaging manufacturer
106,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Amherstburg,Victoria Steel Corporation,"5175 O'Neil Dr, Oldcastle, ON N0R 1L0, Canada",metal fabrication
107,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,Bare Metal Industries,"9122 Northville Rd, Thedford, ON N0M 2N0, Canada",metal fabrication
108,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,Calco Metal Manufacturing Corporation,"1 Anderson Ave, St Thomas, ON N5P 4A2, Canada",metal fabrication
109,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,Chantler Packages Inc.,"880 Lakeshore Rd E B, Mississauga, ON L5E 1E1, Canada",packaging manufacturer
110,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,Custom Metal Fabrication inc.,"1332 Khalsa Dr, Mississauga, ON L5S 0A2, Canada",metal fabrication
111,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,Featherstone Metalworks Inc.,"1071 Lakehurst Rd, Buckhorn, ON K0L 1J0, Canada",metal fabrication
112,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,Integrated Packaging Systems Inc.,"200 Sheffield St, Cambridge, ON N3C 3W2, Canada",packaging manufacturer
113,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,Kupke Metal Works Inc.,"9630 Highway 2 East, Cobourg, ON K9A 4J8, Canada",metal fabrication
114,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,Metalcon Inc.,"1500 Global Dr Unit #2, London, ON N6N 1R3, Canada",metal fabrication
115,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,Ramsden Industries Ltd.,"128 Oakland Ave, London, ON N5W 4H6, Canada",manufacturer
116,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,Schubert Packaging Automation Inc.,"5285 Solar Dr, Mississauga, ON L4W 5B8, Canada",packaging manufacturer
117,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,SupplyOne Canada,"8905 Goreway Dr, Brampton, ON L6T 0B7, Canada",packaging manufacturer
118,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,Wal-Dor Industries Ltd,"202 Bergey Ct, New Hamburg, ON N3A 2J5, Canada",metal fabrication
119,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Anderdon,Wolfpack Packaging Inc. - a Division of Imperial Dade Canada Inc.,"1 Logistics Ct unit 2, Georgina, ON L4P 0T5, Canada",packaging manufacturer
120,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Belle River,Black Label Automotive Group - Pre-Owned Automotive Centre,"224 South St, Belle River, ON N0R 1A0, Canada",automotive parts manufacturer
121,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Belle River,Custom Injection Molders Canada ULC,"99 Savannah Oaks Dr, Brantford, ON N3V 1E8, Canada",plastics manufacturer
122,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Belle River,Freshstone Brands Inc. - Etobicoke/Tiffany Gate Manufacturing,"195 Steinway Blvd, Etobicoke, ON M9W 6H6, Canada",food manufacturer
123,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Belle River,"Freshstone Brands Inc., Kitchener Manufacturing","1326 Victoria St N, Kitchener, ON N2B 3E2, Canada",food manufacturer
124,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Belle River,Hunter Express Ltd.,"1891 County Rd 42, Belle River, ON N8L 1M1, Canada",manufacturer
125,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Belle River,Lakeshore Irrigation Solutions,"192 7th St, Belle River, ON N8L 1K8, Canada",food manufacturer
126,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Belle River,Smith Solutions,"192 6th St, Belle River, ON N8L 1K8, Canada",manufacturer
127,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Belle River,The B.O.S. Group,"362 County Rd 2, Belle River, ON N8L 1M4, Canada",automotive parts manufacturer
128,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Comber,Allpack Solutions Inc,"223 Corbett Dr, Pontypool, ON L0A 1K0, Canada",packaging manufacturer
129,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Comber,Armtec Inc.,"7010 Windsor Ave, Comber, ON N0P 1J0, Canada",manufacturer
130,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Comber,BTE Assembly Ltd.,"801 Tremaine Ave S, Listowel, ON N4W 3H2, Canada",automotive parts manufacturer
131,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Comber,Canadian Seal International,"7035 Industrial Dr, Comber, ON N0P 1J0, Canada",manufacturer
132,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Emeryville,AP LAZER CANADA mfg inc,"2555 N Talbot Rd, Oldcastle, ON N0R 1L0, Canada",manufacturer
133,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Emeryville,Express Molding International Inc,"1695 Turner Rd, Windsor, ON N8W 3J8, Canada",injection molding company
134,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Emeryville,Food Processors of Canada (FPC),"350 Sparks St., Ottawa, ON K1R 0A4, Canada",food manufacturer
135,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Emeryville,Invex foods Canada Corporation,"467 Speers Rd Unit 14, Oakville, ON L6K 3S4, Canada",food manufacturer
136,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Emeryville,Kemflo Canada Inc,"500 Edward Ave, Richmond Hill, ON L4C 4Y9, Canada",injection molding company
137,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Emeryville,Mold Makers International Inc.,"3790 Tecumseh Rd E, Windsor, ON N8W 1H8, Canada",injection molding company
138,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Emeryville,Performance Plastics Ltd.,"480 Tapscott Rd Unit 1, Scarborough, ON M1B 1W3, Canada",injection molding company
139,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Essex,Essex Readymix Inc.,"300 Allen Ave, Essex, ON N8M 3G6, Canada",manufacturer
140,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Essex,Pronto Wholesale Ltd.,"4960 Walker Rd, Tecumseh, ON N0R 1L0, Canada",food manufacturer
141,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Essex,Spire Precision Manufacturing Inc.,"2140 Fasan Dr, Oldcastle, ON N0R 1L0, Canada",manufacturing company
142,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Harrow,Classy Caps Mfg Inc.,"2636 County Rd 20 E, Harrow, ON N0R 1G0, Canada",manufacturer
143,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Harrow,Integra (EnerQuest Technology Solutions Inc.),"360 Queen St, Harrow, ON N0R 1G0, Canada",manufacturer
144,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Harrow,Parts Pioneer - Canada Auto Parts Online,"18 King St E Suite #1400, Toronto, ON M5C 1C4, Canada",automotive parts manufacturer
145,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Harrow,Pollard Distribution Inc.,"21 Concession Rd 3, Harrow, ON N0R 1G0, Canada",manufacturer
146,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Harrow,REFAC Industrial Contractors Inc.,"120 Sinasac St E, Harrow, ON N0R 1G0, Canada",manufacturer
147,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Harrow,Shine Hospitality Inc.,"62 King St E, Essex, ON N0R 1G0, Canada",food manufacturer
148,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Harrow,Solina Canada Inc. (W.T. Lynch Foods Limited),"72 Railside Rd, North York, ON M3A 1A3, Canada",food manufacturer
149,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Kingsville,Neudorf Stamping Corporation,"200 Lakeview Ave, Kingsville, ON N9Y 1N9, Canada",manufacturer
150,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,Kingsville,Queen's Auto Supply Ltd.,"2013 Division Rd, Kingsville, ON N9Y 2Y9, Canada",automotive parts manufacturer
151,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,LaSalle,Blisteck Plastic Inc.,"8000 Rue Jean-Brillon, LaSalle, QC H8N 2L2, Canada",plastics manufacturer
152,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,LaSalle,Kart Works Canada Inc.,"2230 Todd Ln, LaSalle, ON N9H 1K2, Canada",automotive parts manufacturer
153,Tier 1B — Mid-Large Industrial,Zone 1 — Windsor / Essex County,LaSalle,Klassen Custom Fabricating Inc.,"5140 Ure St, Oldcastle, ON N0R 1L0, Canada",metal fabrication
