num,tier,zone,city,company,address,industry
1359,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dealtown,Mid North Containers Limited,"257475 Hillview Rd, Temiskaming Shores, ON P0J 1P0, Canada",packaging manufacturer
1360,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dealtown,One Stop Auto Parts,"8 Main St W, Ridgetown, ON N0P 2C0, Canada",automotive parts manufacturer
1361,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dealtown,RPG Supply Inc,"40 Sunray St, Whitby, ON L1N 8Y3, Canada",automotive parts manufacturer
1362,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dealtown,Regional Automotive Warehousing,"1155 Algoma Rd #1155, Gloucester, ON K1B 0A1, Canada",automotive parts manufacturer
1363,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dealtown,Shipmaster Containers Ltd,"380 Esna Park Dr, Markham, ON L3R 1G5, Canada",packaging manufacturer
1364,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dealtown,Target Fabrication,"1643 Old Wooler Rd, Wooler, ON K0K 3M0, Canada",manufacturing company
1365,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dealtown,Trillium Network for Advanced Manufacturing,"1151 Richmond St SSC6306, London, ON N6G 2V4, Canada",manufacturing company
1366,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Custom Plastics Intl Ltd,"887 D'Arcy St, Cobourg, ON K9A 4B5, Canada",plastics manufacturer
1367,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Diamond Rose,"390 W Metcalfe St, Dresden, ON N0P 1M0, Canada",manufacturer
1368,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Double Horn Company,"260 Trerice St E, Dresden, ON N0P 1M0, Canada",manufacturer
1369,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Dresden Industrial,"172 Centre St, Rodney, ON N0L 2C0, Canada",manufacturing company
1370,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Dresden Meat Packers,"10210 McCreary Line, Dresden, ON N0P 1M0, Canada",manufacturer
1371,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Dresden Ready-Mix Ltd,"1225 Wellington St, Dresden, ON N0P 1M0, Canada",manufacturer
1372,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Duramould Plastics,"Unit# 1, 600 Euclid St Unit# 2, Whitby, ON L1N 5C2, Canada",injection molding company
1373,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Ellis Motor Products Ltd,"397 St George St, Dresden, ON N0P 1M0, Canada",OEM manufacturer
1374,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Enviroshake,"1130 Wellington St, Dresden, ON N0P 1M0, Canada",manufacturer
1375,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,FD Plastics,"23 Jytek Dr, Leominster, MA 01453, USA",plastics manufacturer
1376,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Formtech Plastics Ontario Inc,"153 Perth St, Acton, ON L7J 1C9, Canada",plastics manufacturer
1377,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Greyco Products,"812095 E Back Line, Dundalk, ON N0C 1L0, Canada",plastics manufacturer
1378,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,JUST POP ON IN GOURMET POPCORN CANDY SHOPPE,"452 St George St, Dresden, ON N0P 1M0, Canada",packaging manufacturer
1379,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Johnston Industrial Plastics Limited,"20 Fleeceline Rd, Etobicoke, ON M8V 2K3, Canada",plastics manufacturer
1380,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Leemark Enterprises,"29771 Irish School Rd, Dresden, ON N0P 1M0, Canada",manufacturer
1381,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Plasticom Inc,"47 Milner St, Winnipeg, MB R2X 2P7, Canada",plastics manufacturer
1382,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Sonny's Variety,"140 Lindsley St W, Dresden, ON N0P 1M0, Canada",plastics manufacturer
1383,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Tates Welding & Fabrication Ltd,"1 Arnold St, Dresden, ON N0P 1M0, Canada",metal fabrication
1384,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,The Mill Co.,"943 Wellington St, Dresden, ON N0P 1M0, Canada",manufacturer
1385,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,UGP Plastics,"85 Chambers Dr Unit 6 & 7, Ajax, ON L1Z 1E2, Canada",injection molding company
1386,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Dresden,Vins Plastics,"12 Industrial Court, Bradford, ON L3Z 2B4, Canada",plastics manufacturer
1387,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erie Beach,3B PACKAGING,"6 Parkway Pl, Barrie, ON L4M 4Z1, Canada",packaging manufacturer
1388,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erie Beach,Erie Beach,"Erie Beach, ON N0P 1A0, Canada",manufacturer
1389,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erie Beach,Erie Industrial Plastics,"1304 Myrtle St, Erie, PA 16501, USA",plastics manufacturer
1390,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erie Beach,Munot Plastics Inc,"2935 W 17th St, Erie, PA 16505, USA",packaging manufacturer
1391,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erie Beach,North Coast Packaging Inc,"1408 W 20th St, Erie, PA 16502, USA",packaging manufacturer
1392,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erie Beach,Pintar Manufacturing,"300 Main St, Erin, ON N0B 1T0, Canada",manufacturer
1393,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erie Beach,"S & S Packaging Products, Inc","10549 Crosby Cir, Cranesville, PA 16410, USA",packaging manufacturer
1394,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erieau,Canus Plastics,"2684 Fenton Rd, Ottawa, ON K1T 3T7, Canada",plastics manufacturer
1395,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erieau,Erieview Ice Cream,"1565 Mariners Rd, Erieau, ON N0P 1A0, Canada",manufacturing company
1396,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erieau,Plas Tech Extrusions,"336 Saunders Rd, Barrie, ON L4N 9Y2, Canada",plastics manufacturer
1397,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erieau,Plas-Tech Fabrications,"2684 Fenton Rd, Gloucester, ON K1T 3V2, Canada",plastics manufacturer
1398,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erieau,SMELSER STEEL,"316 south cayuga, side rd, Dunnville, ON N1A 2W8, Canada",metal fabrication
1399,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erieau,Sandbar,"875 Mariners Rd, Erieau, ON N0P 1A0, Canada",food manufacturer
1400,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Erieau,Smith Steel & Fabrication,"7319 ON-23, Atwood, ON N0G 1B0, Canada",metal fabrication
1401,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Highgate,Double-J Fabrication,"60 White St, Aylmer, ON N5H 3G9, Canada",manufacturing company
1402,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Highgate,Highgate,"Highgate, ON N0P 0B7, Canada",manufacturer
1403,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Highgate,Spartec Composites Inc,"32 Pioneer Dr, Erin, ON N0B 1T0, Canada",manufacturing company
1404,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Lighthouse Cove,Dock & Vine,"470 Tisdelle Dr, Tilbury, ON N0P 2L0, Canada",manufacturer
1405,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Merlin,Custom Quality Manufacturing,"516 John St N #8, Aylmer, ON N5H 2S8, Canada",manufacturer
1406,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Merlin,Merlin,"Merlin, ON N0P 1W0, Canada",manufacturer
1407,Tier 2 — Regional Manufacturer,Zone 2 — Chatham-Kent,Merlin,"Merlin Mold & Manufacturing, Inc","7059 Harp Rd, Canastota, NY 13032, USA",injection molding company
