place_id,company_name,formatted_address,city_searched,zone,keyword_searched,raw_query
ChIJ07Q_CFJiKYgRafaHb4nN-yY,107 William St,"107 William St, Palmerston, ON N0G 2P0, Canada",Palmerston,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,hub_address_search,"107 William St , Palmerston, ON N0G 2P0, Canada"
ChIJXfYdpaD0K4gRen6kt2hHWHI,1070 Guelph St,"1070 Guelph St, Kitchener, ON N2B 2E3, Canada",Kitchener,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,hub_address_search,"1070 Guelph St , Kitchener, ON N2B 2E3, Canada"
ChIJz_PXIoz0K4gRpz5a40ONEvo,108 Ahrens St W,"108 Ahrens St W, Kitchener, ON N2H 4C3, Canada",Kitchener,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,hub_address_search,"108 Ahrens St W , Kitchener, ON N2H 4C3, Canada"
ChIJlzk_Csa7OogRu5ugtjpuC6o,108 Talbot Rd E,"108 Talbot Rd E, Wheatley, ON N0P 2P0, Canada",Wheatley,Zone 1 — Windsor / Essex County,hub_address_search,"108 Talbot Rd E , Wheatley, ON N0P 2P0, Canada"
ChIJVbgw56GDJYgRVmaERppVEgU,1086 Modeland Rd,"1086 Modeland Rd, Sarnia, ON N7S 6L2, Canada",Sarnia,Zone 3 — Sarnia / Lambton County,hub_address_search,"1086 Modeland Rd , Sarnia, ON N7S 6L2, Canada"
ChIJXZpDkUCCK4gR3pA6kw22Ras,11 Nicholas Beaver Rd,"11 Nicholas Beaver Rd, Puslinch, ON N1H 6H9, Canada",Puslinch,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,hub_address_search,"11 Nicholas Beaver Rd , Puslinch, ON N0B 2J0, Canada"
ChIJ6S4oC_nzK4gRUc_5reHfd0Y,110 Columbia St W,"110 Columbia St W, Waterloo, ON N2L 3K8, Canada",Waterloo,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,hub_address_search,"110 Columbia St W , Waterloo, ON N2L 3K8, Canada"
ChIJtR9Gd0SIK4gRAULFcsHRSzY,110 Turnbull Ct,"110 Turnbull Ct, Cambridge, ON N1T 1K6, Canada",Cambridge,Zone 6 — Kitchener / Waterloo / Cambridge / Guelph,hub_address_search,"110 Turnbull Ct , Cambridge, ON N1T 1K6, Canada"
ChIJqbRWfUDVOogRIjD5kjiFmoc,1100 Lesperance Rd,"1100 Lesperance Rd, Windsor, ON N8N 1X1, Canada",Tecumseh,Zone 1 — Windsor / Essex County,hub_address_search,"1100 Lesperance Rd , Tecumseh, ON N8N 1X2, Canada"
ChIJizKENDc_K4gRY-aIr6OtMQc,1107 Westport Crescent,"1107 Westport Crescent, Mississauga, ON L5T 1E8, Canada",Cedar Springs,Zone 2 — Chatham-Kent,hub_address_search,"1107 Westport Crescent , Mississauga, ON L5T 1E8, Canada"
