timestamp,street,sample_address,lat,lng,status_code,raw_results,new_results,error_message
2026-05-24T18:06:37Z,Wallace Ave N,"1045 Wallace Ave N, Listowel, ON N4W 3G6, Canada",43.7438805,-80.9453556,200,20,18,
2026-05-24T18:06:38Z,London Rd,"100 London Rd, Thamesville, ON N0P 2K0, Canada",42.5518839,-81.9771597,200,20,4,
2026-05-24T18:06:40Z,Road 3 E,"1397 Road 3 E, Kingsville, ON N9Y 2E5, Canada",42.062043,-82.67934699999999,200,20,13,
2026-05-24T18:06:41Z,County Rd 42,"11664 County Rd 42, Windsor, ON N8N 2M1, Canada",42.2774191,-82.8917613,200,20,15,
2026-05-24T18:06:42Z,County Rd 34,"1587 County Rd 34, Ruthven, ON N9Y 2E5, Canada",42.0565061,-82.674967,200,20,7,
2026-05-24T18:06:43Z,Talbot St E,"157 Talbot St E, Leamington, ON N8H 1M1, Canada",42.0551975,-82.5924067,200,20,19,
2026-05-24T18:06:44Z,Union St,"77 Union St, Embro, ON N0J 1J0, Canada",43.1544014,-80.9036175,200,20,13,
2026-05-24T18:06:45Z,Huron St,"83 Huron St, Sault Ste. Marie, ON P6A 5P9, Canada",46.5160201,-84.3487274,200,20,19,
2026-05-24T18:06:46Z,Oxford 59,"385502 Oxford 59, Burgessville, ON N0J 1C0, Canada",43.0258045,-80.6369438,200,8,4,
2026-05-24T18:06:47Z,St,"38 Stewart St, Tilbury, ON N0P 2L0, Canada",42.2580142,-82.4252094,200,20,18,
2026-05-24T18:06:48Z,Sandwich St S,"421 Sandwich St S, Amherstburg, ON N9V 3K8, Canada",42.0963033,-83.1075918,200,20,16,
2026-05-24T18:06:50Z,St Andrew St W,"160 St Andrew St W, Fergus, ON N1M 1N5, Canada",43.7051239,-80.3782136,200,20,17,
2026-05-24T18:06:51Z,William St,"729 William St, Tecumseh, ON N8N 2A2, Canada",42.3189644,-82.8856928,200,20,19,
2026-05-24T18:06:52Z,Melair Dr,"180 Melair Dr, Ayr, ON N0B 1E0, Canada",43.2969763,-80.45692389999999,200,20,11,
2026-05-24T18:06:53Z,Glengarry Crescent,"597 Glengarry Crescent, Fergus, ON N1M 0B4, Canada",43.72067370000001,-80.3763089,200,20,10,
2026-05-24T18:06:55Z,Exeter Rd,"179 Exeter Rd Unit D, London, ON N6L 1A4, Canada",42.9194527,-81.2619594,200,20,17,
2026-05-24T18:06:56Z,Tower St S,"766 Tower St S, Fergus, ON N1M 2R3, Canada",43.6983688,-80.3701255,200,20,19,
2026-05-24T18:06:57Z,Belmont Rd,"14000 Belmont Rd, Belmont, ON N0L 1B0, Canada",42.8783071,-81.0849514,200,20,14,
2026-05-24T18:06:58Z,Polymoore Dr,"535 Polymoore Dr, Corunna, ON N0N 1G0, Canada",42.8781981,-82.420965,200,20,10,
2026-05-24T18:06:59Z,Speedvale Ave W,"287 Speedvale Ave W, Guelph, ON N1H 1C5, Canada",43.5456923,-80.2868287,200,20,18,
2026-05-24T18:07:01Z,Malden Rd,"4035 Malden Rd, Windsor, ON N9C 2G4, Canada",42.2783987,-83.05747269999999,200,20,9,
2026-05-24T18:07:02Z,Howard Ave,"2679 Howard Ave, Windsor, ON N8X 3X2, Canada",42.2843659,-83.01296409999999,200,20,19,
2026-05-24T18:07:03Z,Talbot St N,"377 Talbot St N, Essex, ON N8M 2W3, Canada",42.1835263,-82.831974,200,20,19,
2026-05-24T18:07:04Z,Bishop St N,"1456 Bishop St N, Cambridge, ON N1R 7N8, Canada",43.3955419,-80.3176193,200,20,19,
2026-05-24T18:07:05Z,Church St W,"52 Church St W, Burgessville, ON N0J 1C0, Canada",43.0238986,-80.65796379999999,200,20,9,
2026-05-24T18:07:06Z,Sovereign Rd,"364 Sovereign Rd, London, ON N6M 1A5, Canada",42.9942,-81.1414999,200,20,19,
2026-05-24T18:07:07Z,Queen St N,"94 Queen St N, Tilbury, ON N0P 2L0, Canada",42.26425709999999,-82.4315009,200,20,16,
2026-05-24T18:07:08Z,Massey Rd,"355 Massey Rd, Guelph, ON N1K 1B2, Canada",43.5377065,-80.30709499999999,200,18,8,
2026-05-24T18:07:09Z,Airport Rd,"2575 Airport Rd, Windsor, ON N8W 1Z4, Canada",42.2668462,-82.96903440000001,200,20,19,
2026-05-24T18:07:11Z,Edward St,"233 Edward St, St Thomas, ON N5P 1Z4, Canada",42.785606,-81.15528789999999,200,20,18,
2026-05-24T18:07:12Z,Confederation St,"1419 Confederation St, Sarnia, ON N7S 5N9, Canada",42.9595634,-82.35153820000001,200,20,19,
2026-05-24T18:07:13Z,Lakeshore Rd,"918 Lakeshore Rd, Sarnia, ON N7V 2V2, Canada",43.0130918,-82.37506619999999,200,20,19,
2026-05-24T18:07:14Z,Wellington Rd 7,"6458 Wellington Rd 7 Unit 4, Elora, ON N0B 1S0, Canada",43.6737759,-80.4257844,200,20,12,
2026-05-24T18:07:15Z,James St S,"575 James St S, St. Marys, ON N4X 1C6, Canada",43.238409,-81.13190399999999,200,20,11,
2026-05-24T18:07:16Z,Bridge St,"2 Bridge St, Point Edward, ON N7V 4J5, Canada",42.9921736,-82.4107988,200,20,16,
2026-05-24T18:07:18Z,Sheldon Dr,"145 Sheldon Dr, Cambridge, ON N1R 5X5, Canada",43.4024513,-80.312855,200,20,19,
2026-05-24T18:07:19Z,Lyndoch St,"446 Lyndoch St, Corunna, ON N0N 1G0, Canada",42.885711,-82.4528498,200,20,14,
2026-05-24T18:07:20Z,Fountain St N,"1070 Fountain St N, Cambridge, ON N3E 1A3, Canada",43.4191738,-80.3776905,200,20,17,
2026-05-24T18:07:21Z,Centre Rd,"28478 Centre Rd, Strathroy, ON N7G 3J2, Canada",42.9782465,-81.6295627,200,20,15,
2026-05-24T18:07:22Z,Silver Creek Industrial Dr,"418 Silver Creek Industrial Dr, Windsor, ON N8N 4Y3, Canada",42.2995859,-82.8300814,200,20,11,
2026-05-24T18:07:23Z,Alma St,"1500 Alma St, Amherstburg, ON N9V 2Y9, Canada",42.11020389999999,-83.0667196,200,12,6,
2026-05-24T18:07:24Z,Blackacre Dr,"2050 Blackacre Dr, Tecumseh, ON N0R 1L0, Canada",42.2339782,-82.97037340000001,200,20,12,
2026-05-24T18:07:25Z,Ontario St,"3400 Ontario St, Windsor, ON N8Y 1N9, Canada",42.3203949,-82.992097,200,20,18,
2026-05-24T18:07:26Z,Gartshore St,"925 Gartshore St Unit 4, Fergus, ON N1M 3V9, Canada",43.7214842,-80.3839538,200,20,14,
2026-05-24T18:07:27Z,Hwy 6,"4062 Hwy 6, Puslinch, ON N0B 2J0, Canada",43.4317183,-80.09669679999999,200,19,18,
2026-05-24T18:07:28Z,Ilderton Rd,"13227 Ilderton Rd, Ilderton, ON N0M 2A0, Canada",43.078616,-81.3831039,200,18,14,
2026-05-24T18:07:29Z,Line 86,"7293 Line 86, Wallenstein, ON N0B 2S0, Canada",43.601313,-80.636984,200,20,17,
2026-05-24T18:07:31Z,Erie St N,"483 Erie St N, Wheatley, ON N0P 2P0, Canada",42.1087281,-82.46096829999999,200,20,14,
2026-05-24T18:07:32Z,Ontario St S,"345 Ontario St S, Grand Bend, ON N0M 1T0, Canada",43.3001382,-81.76750179999999,200,20,18,
2026-05-24T18:07:33Z,Wellington St S,"77 Wellington St S, Kitchener, ON N2G 2E6, Canada",43.4523957,-80.5047274,200,20,19,
2026-05-24T18:07:34Z,Woodstock St S,"380 Woodstock St S, Tavistock, ON N0B 2R0, Canada",43.3120832,-80.84482129999999,200,20,14,
2026-05-24T18:07:35Z,S Edgeware Rd,"350 S Edgeware Rd, St Thomas, ON N5P 4L1, Canada",42.7930725,-81.1584381,200,20,15,
2026-05-24T18:07:36Z,Caradoc St S,"323 Caradoc St S #5, Strathroy, ON N7G 2P3, Canada",42.9496155,-81.614254,200,20,19,
2026-05-24T18:07:37Z,St Clair Pkwy,"130 St Clair Pkwy, Corunna, ON N0N 1G0, Canada",42.9055176,-82.4571035,200,11,8,
2026-05-24T18:07:38Z,Commerce Way,"1400 Commerce Way Unit 1, Woodstock, ON N4V 0A2, Canada",43.1203089,-80.7092359,200,20,13,
2026-05-24T18:07:40Z,Boxwood Dr,"105 Boxwood Dr Unit 106, Cambridge, ON N3W 0A7, Canada",43.4147761,-80.35835809999999,200,19,14,
2026-05-24T18:07:41Z,Ailsa Craig Main St,"138 Ailsa Craig Main St, Ailsa Craig, ON N0M 1A0, Canada",43.1478883,-81.53714409999999,200,20,15,
2026-05-24T18:07:42Z,Spruce St,"95 Spruce St, Tillsonburg, ON N4G 5C4, Canada",42.8514091,-80.7100392,200,20,10,
2026-05-24T18:07:43Z,Queen St W,"43 Queen St W, Forest, ON N0N 1J0, Canada",43.1005897,-82.0063588,200,20,17,
2026-05-24T18:07:44Z,Park Ave E,"201 Park Ave E, Chatham, ON N7M 3V7, Canada",42.4012638,-82.1733042,200,19,17,
2026-05-24T18:07:45Z,Adelaide Rd,"24614 Adelaide Rd, Strathroy, ON N7G 2P8, Canada",42.9449924,-81.6082407,200,20,15,
2026-05-24T18:07:46Z,Clarke Rd,"1027 Clarke Rd, London, ON N5V 3B1, Canada",43.0227356,-81.185343,200,20,19,
2026-05-24T18:07:47Z,Arthur St S,"81 Arthur St S, Elmira, ON N3B 2M8, Canada",43.597331,-80.5593316,200,20,19,
2026-05-24T18:07:48Z,Industrial Ave,"105 Industrial Ave, Blenheim, ON N0P 1A0, Canada",42.3374616,-82.0041105,200,20,13,
2026-05-24T18:07:49Z,Franklin Blvd,"401 Franklin Blvd, Cambridge, ON N1R 8G8, Canada",43.3642822,-80.2905694,200,20,18,
